Acelerômetro X = -451 	Y = 47 	Z = 2723
Acelerômetro X = -549 	Y = -198 	Z = 2398
Acelerômetro X = 1589 	Y = -1151 	Z = 848
Acelerômetro X = -377 	Y = -711 	Z = 2385
Acelerômetro X = -513 	Y = 473 	Z = 2818
Acelerômetro X = 63 	Y = 223 	Z = 1581
Acelerômetro X = -359 	Y = 756 	Z = 2291
Acelerômetro X = 639 	Y = 23 	Z = 1794
Acelerômetro X = 314 	Y = 1174 	Z = 1930
Acelerômetro X = 665 	Y = -772 	Z = 1843
Acelerômetro X = 604 	Y = -1214 	Z = 1663
Acelerômetro X = -105 	Y = -270 	Z = 2940
Acelerômetro X = -745 	Y = -1006 	Z = 1397
Acelerômetro X = -1061 	Y = -186 	Z = 2691
Acelerômetro X = -330 	Y = 118 	Z = 1687
Acelerômetro X = -701 	Y = 564 	Z = 2344
Acelerômetro X = -545 	Y = 918 	Z = 2367
Acelerômetro X = -75 	Y = 469 	Z = 1893
Acelerômetro X = 316 	Y = -260 	Z = 2026
Acelerômetro X = 589 	Y = 5 	Z = 1309
Acelerômetro X = 1087 	Y = 369 	Z = 3032
Acelerômetro X = 662 	Y = -77 	Z = 964
Acelerômetro X = 283 	Y = 2 	Z = 934
Acelerômetro X = 869 	Y = 385 	Z = 1175
Acelerômetro X = -901 	Y = 242 	Z = 2785
Acelerômetro X = -404 	Y = -22 	Z = 2047
Acelerômetro X = -543 	Y = 604 	Z = 2058
Acelerômetro X = -643 	Y = 930 	Z = 1818
Acelerômetro X = -575 	Y = 921 	Z = 1439
Acelerômetro X = -157 	Y = 632 	Z = 1739
Acelerômetro X = -96 	Y = 1239 	Z = 2311
Acelerômetro X = -302 	Y = 1178 	Z = 1518
Acelerômetro X = -394 	Y = 846 	Z = 1717
Acelerômetro X = -770 	Y = 871 	Z = 1490
Acelerômetro X = -398 	Y = 398 	Z = 2052
Acelerômetro X = -856 	Y = 357 	Z = 2104
Acelerômetro X = -920 	Y = 38 	Z = 1999
Acelerômetro X = -709 	Y = 601 	Z = 1904
Acelerômetro X = -625 	Y = 1343 	Z = 1335
Acelerômetro X = -401 	Y = 1652 	Z = 541
Acelerômetro X = -419 	Y = 1754 	Z = -9
Acelerômetro X = -527 	Y = 1678 	Z = -773
Acelerômetro X = -430 	Y = 1834 	Z = -384
Acelerômetro X = -157 	Y = 1796 	Z = 9
Acelerômetro X = -190 	Y = 1069 	Z = 882
Acelerômetro X = -787 	Y = 1284 	Z = 2672
Acelerômetro X = -1046 	Y = 1261 	Z = 2536
Acelerômetro X = -1361 	Y = 850 	Z = 2345
Acelerômetro X = -1029 	Y = 386 	Z = 1476
Acelerômetro X = -528 	Y = 377 	Z = 1116
Acelerômetro X = -128 	Y = -199 	Z = 1874
Acelerômetro X = -358 	Y = -683 	Z = 4110
Acelerômetro X = -57 	Y = -472 	Z = 2046
Acelerômetro X = 268 	Y = -913 	Z = 2378
Acelerômetro X = 351 	Y = -373 	Z = 1416
Acelerômetro X = -568 	Y = -1575 	Z = 2158
Acelerômetro X = -363 	Y = -944 	Z = 1951
Acelerômetro X = -746 	Y = -374 	Z = 1727
Acelerômetro X = -929 	Y = 546 	Z = 1649
Acelerômetro X = -220 	Y = -148 	Z = 1937
Acelerômetro X = -1401 	Y = 1259 	Z = 1667
Acelerômetro X = -487 	Y = -405 	Z = 1329
Acelerômetro X = 264 	Y = 550 	Z = 1897
Acelerômetro X = -225 	Y = 497 	Z = 2267
Acelerômetro X = 285 	Y = 392 	Z = 1289
Acelerômetro X = 364 	Y = 141 	Z = 1087
Acelerômetro X = -485 	Y = -918 	Z = 3843
Acelerômetro X = 487 	Y = 368 	Z = 1969
Acelerômetro X = 425 	Y = 327 	Z = 1031
Acelerômetro X = -323 	Y = -444 	Z = 4297
Acelerômetro X = -162 	Y = -818 	Z = 2796
Acelerômetro X = 101 	Y = 75 	Z = 627
Acelerômetro X = -144 	Y = -1139 	Z = 2335
Acelerômetro X = -361 	Y = -1483 	Z = 2649
Acelerômetro X = -371 	Y = -1153 	Z = 1571
Acelerômetro X = -441 	Y = -534 	Z = 1137
Acelerômetro X = -1567 	Y = -344 	Z = 3009
Acelerômetro X = -796 	Y = 666 	Z = 2010
Acelerômetro X = -119 	Y = 764 	Z = 1272
Acelerômetro X = -109 	Y = 818 	Z = 1287
Acelerômetro X = -265 	Y = 117 	Z = 2184
Acelerômetro X = -775 	Y = 102 	Z = 2235
Acelerômetro X = -79 	Y = -1174 	Z = 1679
Acelerômetro X = 102 	Y = -931 	Z = 1772
Acelerômetro X = 737 	Y = -684 	Z = 2162
Acelerômetro X = 612 	Y = -610 	Z = 2977
Acelerômetro X = 591 	Y = -272 	Z = 2372
Acelerômetro X = 490 	Y = -164 	Z = 2040
Acelerômetro X = -146 	Y = -53 	Z = 1522
Acelerômetro X = -451 	Y = -572 	Z = 1273
Acelerômetro X = -240 	Y = -763 	Z = 2104
Acelerômetro X = -292 	Y = -996 	Z = 2269
Acelerômetro X = 238 	Y = -495 	Z = 2127
Acelerômetro X = 241 	Y = -95 	Z = 2357
Acelerômetro X = 81 	Y = 246 	Z = 1636
Acelerômetro X = -847 	Y = 597 	Z = 1704
Acelerômetro X = -895 	Y = 812 	Z = 1075
Acelerômetro X = -1223 	Y = 614 	Z = 1209
Acelerômetro X = -841 	Y = 148 	Z = 1911
Acelerômetro X = 286 	Y = -172 	Z = 2400
Acelerômetro X = 915 	Y = -64 	Z = 1528
Acelerômetro X = 1575 	Y = -254 	Z = 1195
Acelerômetro X = 1481 	Y = 137 	Z = 1878
Acelerômetro X = 409 	Y = 48 	Z = 1936
Acelerômetro X = 172 	Y = 394 	Z = 1816
Acelerômetro X = -623 	Y = 753 	Z = 2749
Acelerômetro X = -289 	Y = 250 	Z = 2093
Acelerômetro X = 561 	Y = 31 	Z = 1588
Acelerômetro X = 449 	Y = -17 	Z = 1906
Acelerômetro X = 1314 	Y = -188 	Z = 2135
Acelerômetro X = 481 	Y = -921 	Z = 1675
Acelerômetro X = 546 	Y = -760 	Z = 1658
Acelerômetro X = 121 	Y = -752 	Z = 1997
Acelerômetro X = -172 	Y = -636 	Z = 1996
Acelerômetro X = 166 	Y = -615 	Z = 2533
Acelerômetro X = -59 	Y = -346 	Z = 2006
Acelerômetro X = -256 	Y = 457 	Z = 2012
Acelerômetro X = -623 	Y = 571 	Z = 1793
Acelerômetro X = -976 	Y = 755 	Z = 1888
Acelerômetro X = -638 	Y = 947 	Z = 1794
Acelerômetro X = -232 	Y = 255 	Z = 1964
Acelerômetro X = 193 	Y = -257 	Z = 2248
Acelerômetro X = 319 	Y = -199 	Z = 2259
Acelerômetro X = 332 	Y = -319 	Z = 2024
Acelerômetro X = -9 	Y = -364 	Z = 1873
Acelerômetro X = 769 	Y = -455 	Z = 2108
Acelerômetro X = 1079 	Y = -502 	Z = 2338
Acelerômetro X = 148 	Y = -455 	Z = 2261
Acelerômetro X = 551 	Y = -392 	Z = 2017
Acelerômetro X = 608 	Y = -318 	Z = 2179
Acelerômetro X = -280 	Y = -472 	Z = 2546
Acelerômetro X = 453 	Y = -470 	Z = 2287
Acelerômetro X = 532 	Y = -658 	Z = 2707
Acelerômetro X = -203 	Y = -485 	Z = 2934
Acelerômetro X = 20 	Y = -1451 	Z = 2981
Acelerômetro X = 450 	Y = -965 	Z = 2305
Acelerômetro X = 291 	Y = -802 	Z = 1491
Acelerômetro X = 301 	Y = -1300 	Z = 1829
Acelerômetro X = 63 	Y = -1683 	Z = 2483
Acelerômetro X = -464 	Y = -1024 	Z = 3073
Acelerômetro X = -669 	Y = -507 	Z = 2457
Acelerômetro X = -561 	Y = -428 	Z = 2079
Acelerômetro X = 294 	Y = -450 	Z = 1907
Acelerômetro X = -567 	Y = -147 	Z = 1344
Acelerômetro X = -702 	Y = -741 	Z = 2228
Acelerômetro X = -421 	Y = -1056 	Z = 1755
Acelerômetro X = 322 	Y = -1559 	Z = 1687
Acelerômetro X = 1050 	Y = -986 	Z = -403
Acelerômetro X = 403 	Y = -1255 	Z = 526
Acelerômetro X = 245 	Y = -1791 	Z = 1693
Acelerômetro X = -968 	Y = -1265 	Z = 2983
Acelerômetro X = -821 	Y = 126 	Z = 2167
Acelerômetro X = 88 	Y = -354 	Z = 1732
Acelerômetro X = -61 	Y = -165 	Z = 2449
Acelerômetro X = -230 	Y = -13 	Z = 1912
Acelerômetro X = 179 	Y = -740 	Z = 2543
Acelerômetro X = 398 	Y = 123 	Z = 2203
Acelerômetro X = 663 	Y = -1008 	Z = 2547
Acelerômetro X = -272 	Y = -1766 	Z = 2791
Acelerômetro X = 253 	Y = -1251 	Z = 2331
Acelerômetro X = -192 	Y = -375 	Z = 1993
Acelerômetro X = 703 	Y = -540 	Z = 1740
Acelerômetro X = 238 	Y = -584 	Z = 2431
Acelerômetro X = 338 	Y = -1015 	Z = 2879
Acelerômetro X = 671 	Y = 540 	Z = 988
Acelerômetro X = 867 	Y = -612 	Z = 1146
Acelerômetro X = -509 	Y = -625 	Z = 2749
Acelerômetro X = -1322 	Y = 244 	Z = 2355
Acelerômetro X = -163 	Y = -452 	Z = 2500
Acelerômetro X = -71 	Y = -142 	Z = 2096
Acelerômetro X = 811 	Y = 278 	Z = 936
Acelerômetro X = 43 	Y = 3 	Z = 2205
